p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,disease
135,1636,207,2099,2912,2950,3350,3362,4886,4988,5245,6531,6622,6648,816,8787,9463,0,0,0,Psychoses  Substance-Induced
3295,5189,5190,5192,5193,5194,5195,55670,5824,5825,5828,5830,8504,8799,9409,0,0,0,0,0,Zellweger Syndrome
2,10318,10498,10547,10758,10866,117289,125893,1356,1401,140454,1437,149233,163702,23586,2524,2706,285626,29785,3107,Psoriasis
1277,1282,1284,2,213,2152,2247,2262,2981,3123,3291,3558,462,4690,5054,6648,7018,7040,7827,8440,Nephrotic Syndrome
221692,23063,23245,338342,4035,4209,6863,79054,796,79783,9457,9910,0,0,0,0,0,0,0,0,Common Migraine
10036,2189,2937,3301,51182,54541,56603,5743,6283,672,8208,9518,28998,301,302,308,3202,3236,3237,3265,Mouth Diseases
126328,137682,25915,29078,374291,4535,4536,4537,4538,4540,4541,4570,4694,4709,4715,4719,4720,4722,4723,4724,MITOCHONDRIAL COMPLEX I DEFICIENCY
1012,10160,10207,10257,105,1080,11278,1129,1138,114134,114786,114788,121601,1268,140683,140733,143098,143379,143458,143503,Substance Related Disorders
2056,2539,2729,2821,2936,3043,3162,3440,3704,6521,6710,7167,0,0,0,0,0,0,0,0,Anemia Hemolytic
3,10057,10125,101927437,1021,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,117289,122618,1235,1244,Rheumatoid Arthritis
10758,3107,3576,3593,400957,4049,4210,4843,4929,54620,5966,64127,643749,652,7124,860,968,0,0,0,Arthritis Psoriatic
10533,113235,142,1437,1440,183,2056,2936,30061,3240,3440,3481,3558,3562,374569,4524,51312,538,5617,5741,Anemia
10232,1956,2064,2263,2778,3417,3418,3569,3845,4089,4843,5178,54894,55193,5566,5567,5743,5774,58508,6092,Carcinoma
1027,1616,4221,546,5744,673,6751,6752,6753,7298,0,0,0,0,0,0,0,0,0,0,Neuroendocrine Tumors
1012,114609,1154,1378,1401,2213,2532,256892,259197,28,2993,2995,3240,3383,4055,4843,493,6521,7124,91752,Malaria
113235,1674,27232,29108,4524,4552,4868,5444,7124,834,875,0,0,0,0,0,0,0,0,0,Hyperhomocysteinemia
