p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200,p201,p202,p203,p204,p205,p206,p207,p208,p209,p210,p211,p212,p213,p214,p215,p216,p217,p218,p219,p220,p221,p222,p223,p224,p225,p226,p227,p228,p229,p230,p231,p232,p233,p234,p235,p236,p237,p238,p239,p240,p241,p242,p243,p244,p245,p246,p247,p248,p249,p250,p251,p252,p253,p254,p255,p256,p257,p258,p259,p260,p261,p262,p263,p264,p265,p266,p267,p268,p269,p270,p271,p272,p273,p274,p275,p276,p277,p278,p279,p280,p281,p282,p283,p284,p285,p286,p287,p288,p289,p290,p291,p292,p293,p294,p295,p296,p297,p298,p299,p300,p301,p302,p303,p304,p305,p306,p307,p308,p309,p310,p311,p312,p313,p314,p315,p316,p317,p318,p319,p320,p321,p322,p323,p324,p325,p326,p327,p328,p329,p330,p331,p332,p333,p334,p335,p336,p337,p338,p339,p340,p341,p342,p343,p344,p345,p346,p347,p348,p349,p350,p351,p352,p353,p354,p355,p356,p357,p358,p359,p360,p361,p362,p363,p364,p365,p366,p367,p368,p369,p370,p371,p372,p373,p374,p375,p376,p377,p378,p379,p380,p381,p382,p383,p384,p385,p386,p387,p388,p389,p390,p391,p392,p393,p394,p395,p396,p397,p398,p399,p400,disease
10232,1956,2064,2263,2778,3417,3418,3569,3845,4089,4843,5178,54894,55193,5566,5567,5743,5774,58508,6092,6528,7157,8289,8314,10847,10933,1387,1462,1612,182,2011,2019,2033,2175,2195,221037,2264,2309,23135,23209,23220,23269,23543,23619,23774,259266,2620,2621,26292,27255,27344,284058,29072,29128,2982,3008,3265,3485,358,3645,3691,3852,3866,4082,4602,4603,4613,472,4781,4851,50805,51477,51514,51659,5174,51742,5176,5290,53335,54441,54531,546,54756,54880,55294,55534,55783,5591,55914,5605,5728,57419,5834,58508,595,63035,64324,6484,653220,6595,6605,6651,6659,6664,672,7153,7157,7403,7994,80303,81029,81831,8243,8289,8332,84159,8823,9223,93986,9454,9700,9863,9874,999,10232,1029,10397,182,1840,185,23220,23462,23493,3280,3303,3304,3714,384,3845,4780,4851,4854,4855,7422,1317,1565,23400,3064,3458,3553,4843,5071,6622,664,7124,1026,10460,10735,1387,1440,1612,2033,2100,2261,259,26986,2876,317,3265,3274,3440,3486,4297,5328,5743,58508,595,7124,7157,7403,7421,8289,84181,8836,9611,9700,102724265,10397,10404,10950,11214,11236,114788,120892,1265,1381,1410,142685,144132,1508,1509,158584,1612,1938,201163,2034,2064,210,216,23037,23042,2321,23224,23532,238,2475,25844,25953,2705,283092,284013,2886,29072,2944,2950,2952,3035,307,317,3313,3315,332,3329,343930,3440,353,3566,3569,3570,3596,374393,3778,3855,3856,3882,3897,3945,4074,4233,4286,43,4585,4771,4968,5037,5058,50944,5162,5230,5290,53353,5443,54790,55193,55367,5546,55745,56776,5728,5743,57731,5816,590,5970,6261,6423,6513,6526,6648,6921,6927,6928,7030,7052,7157,7248,7428,79026,79444,8028,81562,822,8242,8314,835,8407,84433,84925,8633,8738,8743,8790,89795,9045,91661,91662,91752,949,95,9745,9817,9820,9839,10399,1050,1410,1457,1459,1460,1544,1545,1834,1956,2023,2068,207,2260,23410,2597,2810,2876,28998,29108,2944,301,302,3065,3066,308,3082,3265,3312,3315,338442,3440,3569,3576,360,3678,3688,3713,374,3845,3848,3854,3858,3861,3963,4014,4118,4233,4318,4489,4780,51151,51741,5223,5290,5478,5594,5595,56952,5731,5743,5747,5915,6317,6648,6657,6698,6774,6794,7012,7040,7157,7167,7248,7249,7298,7372,7417,7422,7979,8202,8626,8843,90417,9582,999,100302142,Carcinoma
10140,1019,1728,196,2026,2064,2149,22827,25,3082,30834,3265,3274,3458,3558,3592,3593,3832,3845,405,407041,4893,5111,5621,574511,595,5970,613,6678,6696,682,7124,7422,8725,8743,1019,1029,113878,1559,1612,23411,238,27436,28514,3558,388585,4255,441478,5111,5444,5727,595,5970,6608,6648,6696,7052,7422,1410,3265,3315,360,3861,407007,5743,6648,7012,7298,1029,1499,2778,2796,2798,5566,5743,5925,7157,7253,998,71,7170,7227,7329,7351,7430,7498,7517,7534,780,81,832,8573,8648,8673,8743,8825,8848,9019,902,93974,949,960,9615,9902,998,18,100187711,100188841,100188887,100271690,100271691,100271692,1003,100329169,100422821,1005,10057,10058,10135,10257,10297,10349,10350,10351,10457,10631,10666,10714,1080,11171,11197,11200,11257,116135,1244,125,1294,135228,1404,140628,143187,1437,148266,1487,1499,150000,1544,1545,154664,1548,1630,1719,1728,1806,1890,19,1956,201163,2033,2041,2068,207,2070,21,2100,217,2195,2199,2201,2202,221687,2237,225,2261,22843,22854,23036,2318,23345,23456,23460,23461,2356,23600,23643,24,256536,26038,26154,26256,2626,26585,27030,27151,284217,2879,2894,2903,29108,2944,2947,2977,2984,30833,3231,3235,324,332,340273,3439,3440,3481,3486,3572,3576,368,3791,3845,3992,405,406900,406920,407017,407050,4089,4092,4288,4292,4312,4313,4363,4436,4524,4552,4830,4831,4893,4897,4929,4953,51466,5157,5243,5244,5268,5290,5320,540,5424,5426,54436,5468,54739,54822,54894,55356,5579,5581,5587,57007,57016,57178,57338,5743,5789,5795,5825,5826,59345,59352,595,596,5979,6059,6241,6414,6422,6423,6424,6425,64321,64359,6447,652,6573,66037,6648,6678,668,673,6790,6833,6934,6948,701,7037,7040,7046,7083,7087,7097,7099,7124,7157,7296,7298,7372,7374,7849,79695,7980,80317,811,8313,841,85415,8626,8647,8667,8714,8741,8743,8836,8842,8991,9148,9156,91768,9201,928,9415,94274,9429,9619,9668,9754,1761,1911,2067,2072,359787,4254,5460,55729,6337,6515,79923,928,9573,1050,1440,1806,1956,2195,23532,2876,2922,374,4118,5594,5595,5888,5915,596,598,6778,7039,7298,7389,7422,7517,9582,1462,1612,182,2011,2019,2175,2195,23209,23543,23619,259266,2620,2621,27344,2982,3485,358,3691,3852,3866,4082,50805,51477,51514,51659,5174,5176,53335,Neoplasms
10401,1499,1956,2067,2261,2475,3115,3116,3280,4524,4851,4853,5457,5915,6774,7015,7472,7474,7528,81037,841,9582,10060,1028,10772,1108,1583,1634,1645,2033,2099,2100,2146,221895,2263,231,23512,27030,2956,3206,3207,3294,332,3480,3576,406985,4216,4524,4780,5074,5241,5424,54894,55294,55558,55743,57016,5728,6347,6405,64061,6716,6770,6820,6935,7422,7869,8289,8405,8644,8743,9021,999,1012,1029,11178,11197,11214,125,131,1410,1440,148867,1588,1592,1956,2023,2064,217,220972,246,25,2597,27030,27113,2788,2810,2920,331,360,3791,3958,406937,406985,406991,4215,4233,4323,4495,4843,4846,50514,51738,51741,5243,5245,56475,5742,5743,581,595,596,597,60,6049,6317,6591,6648,6750,7001,7048,7052,7157,7168,7171,7284,7345,7517,841,864,8797,8856,9940,100302511,100499167,10344,11077,126917,1630,23076,286046,440854,56946,57576,57619,60494,6778,7077,726,84079,85480,8613,9127,10013,10232,1027,10381,10395,10413,10772,10775,115761,1499,1545,1647,1796,1956,2064,2069,207,2122,2194,22800,23213,2348,2475,2516,25803,25976,285601,29086,306,3231,3235,3237,331,332,3569,3572,3576,3590,360,374,3845,4072,4233,4288,4292,4436,4519,4576,4609,467,4831,4978,5071,51029,5290,540,54796,5501,5594,5595,5655,56952,5728,574048,5889,5892,5934,607,6502,6513,6528,6597,6647,6648,6678,672,675,6765,6774,6935,7015,7099,7298,79084,79156,79728,83636,83990,8516,857,8626,8631,8725,8743,894,898,8991,9149,92421,94025,999,1027,10397,1543,1978,2952,3558,3604,5243,540,54880,558,5594,5595,5743,5894,595,6528,6596,6648,673,6790,7249,7428,83593,8743,883,9235,9,100505495,100846978,101805488,101867536,101928075,101928165,101929081,102724596,10481,10611,10979,11074,11200,116113,1488,1499,170626,173,201625,2048,220972,222546,2255,22834,22853,22995,23035,23112,23301,23394,253461,254428,26019,26575,29841,354,357,3655,367,3782,390443,4194,4316,4477,4481,4601,4646,4739,4855,51426,5195,54535,54847,55204,55275,55971,5728,5890,60678,63892,64641,64759,6581,675,6899,6928,7015,7157,727677,728114,79083,79954,81603,84071,84619,9177,9855,10,100270680,1026,1029,10460,10723,10735,10979,11186,119391,1387,140767,1440,146177,1463,1580,1728,1890,1956,2026,2033,2068,2072,2099,2100,2175,2186,225689,2261,255022,26259,squamous cell Neoplasm
1281,1571,3569,4088,4313,4353,53345,596,5970,6648,7040,7076,7124,79143,80339,847,1036,10840,10855,114757,1268,127,1281,133,135,1373,1440,1544,1586,1733,174,183,1906,213,216,217,2173,219,2247,2326,23491,23600,2542,2645,2688,2690,2805,2875,2939,2944,3082,3162,3294,3398,3439,3440,3458,3479,3484,3485,3553,3586,3611,364,3694,3827,3856,3875,3929,3934,3952,3958,4087,4089,4249,43,4311,4312,4313,4317,4318,4322,4489,4780,4843,4846,4904,4907,5008,5091,5105,51179,51380,5159,5168,5243,5340,5443,54466,5743,6038,622,6347,655,6554,6568,6678,6783,6822,7040,7048,7076,7124,7422,7442,761,83729,8431,8630,8651,871,8824,9104,9370,9501,10457,10468,1440,213,2638,2671,3082,355,3557,356,3624,3630,3856,3875,462,540,5443,5599,6341,7124,831,972,100380876,100462725,1437,1586,1636,2147,23411,25813,27087,284217,2938,2944,2950,2952,29780,355,3552,3562,3565,3949,3952,3976,4312,4780,5055,506,5244,53345,5465,5467,5551,5897,6720,7040,7133,7494,80339,8517,8614,929,9370,949,100313838,1131,120227,1268,1269,1277,1281,148,1490,1499,150684,1593,1717,183,203286,213,2147,2149,2152,2153,2247,2252,2263,2321,2638,3082,3291,3439,3569,3727,3856,3875,405,406997,407026,407030,407032,4088,4313,442895,442913,4780,4864,4878,5244,5265,5328,540,54822,55532,574506,59,5972,6347,6678,6696,6772,7040,7057,7133,7422,871,91147,929,10,100126313,100313838,10062,101,10866,112574,1131,1191,1244,1281,1440,1499,1548,1557,1559,1571,1582,1647,1719,196,2023,213,2243,229,2321,2328,256297,259,2638,26762,2729,2875,2919,2934,2944,2946,2947,2950,2952,3105,3106,3119,3123,3146,3162,3242,3263,3274,335,3440,3458,3479,348,350,3552,3553,3565,3569,3589,3605,3606,3627,383,3875,3934,3958,405,4057,406901,406902,406903,406906,406919,406921,406933,406940,406941,406957,406967,406979,406985,406999,407000,407004,407019,407025,407029,407042,4190,4217,4313,442905,442912,4486,4524,4780,4860,50616,5166,5243,5327,5340,5428,5444,54466,54600,5465,5468,5469,5591,5743,574434,574506,581,5858,5947,6347,6480,6590,6647,6649,6696,686,6888,6915,693177,7018,7124,718,7276,729230,7850,79600,84649,847,8836,8856,8991,9002,9131,9370,9474,9970,9971,1230,1241,Liver Cirrhosis Alcoholic
1019,1040,10409,10653,10769,111,11151,11186,112802,1266,1289,1312,140738,1447,1448,1468,1622,1674,1848,1901,1915,1956,1984,2023,2052,2064,2099,2100,214,2167,2180,2202,2335,23569,26012,2625,2628,2678,2771,2937,301,302,3021,3039,307,3178,324,3265,3399,3400,347733,3572,358,3638,3827,3852,3925,3963,4023,4072,4191,4254,4256,4282,4512,4692,5037,5045,50486,5154,51599,5223,5241,5245,5295,5315,5465,5617,5618,5685,5720,5725,5731,5764,5901,5921,5924,5925,5947,595,5950,5954,60,6122,6128,6208,6277,6279,6319,6414,6427,644076,6446,6558,6623,6634,6662,672,6774,6776,7001,7018,7069,7086,7091,71,7170,7227,7329,7351,7430,7498,7534,81,832,8573,8673,8825,8848,9019,902,93974,949,9540,9615,9902,998,999,26,100126333,100126348,1317,1356,1499,1544,1571,174,2026,212,2161,219972,22800,2305,23582,2705,2752,283120,2922,2950,3082,3265,337,344,3791,3845,406884,406886,406887,406891,406902,406910,406937,406953,406957,406959,406962,406971,406984,406989,406994,407006,407017,407027,407029,407030,407033,407034,407040,407054,407056,4233,4240,4283,442898,442903,442904,442906,442907,442908,442920,4609,494332,5371,538,540,5471,554210,574413,574457,574508,5925,596,598,619552,664612,6659,6696,6713,693183,693235,7010,7039,7083,7157,724022,768213,8651,8795,8848,9104,967,9970,999,1026,11156,1158,1356,1410,143,1499,1592,160728,1670,1755,1786,1806,1890,1956,2,2064,2122,219,2203,23236,2348,240,2520,2535,2596,2641,27035,28234,2949,2982,29950,30011,3158,324,3280,3306,3315,332,3383,3399,3458,3481,3484,3553,3557,3604,3627,3679,3725,3757,3845,3952,4023,4057,4129,4171,4224,4288,430,4316,4318,4321,4524,4609,4790,4843,4851,4953,5020,50507,5071,5111,51176,5121,5268,538,5468,54739,553158,5608,57381,5743,57447,578,581,59,595,596,5970,5981,6275,6280,6364,6513,6566,6573,6580,6648,6678,6714,6774,6817,6876,6934,6941,7048,7124,7157,7170,72,7298,7372,7422,7490,781,80196,8313,8434,8549,8678,873,8743,8797,8842,894,9235,1019,1021,1040,10409,10653,10769,111,112802,1266,1289,1447,1448,1468,1622,1674,174,1848,186,1901,1915,1956,1984,2023,2052,2064,2099,2100,214,2167,2180,2202,2335,23569,26012,2625,2628,2678,2688,2771,2937,Stomach Neoplasms
10,10013,100188789,10040,1012,10158,101669767,10207,10257,1026,10263,1027,10333,10397,10417,10439,10451,10481,10499,10516,10551,10587,10625,10809,10857,10928,10945,10948,10951,10955,10961,11005,11009,11176,11178,11187,11200,114609,116113,1191,12,1200,1266,1312,1316,1317,1365,1366,136991,1387,1410,142,143686,1465,1469,1474,1488,1499,150084,1508,1509,153090,154,1543,1545,1548,1557,1562,1571,1576,1577,1586,1588,1605,1636,1647,1672,1728,1775,1786,1789,1902,1950,1956,1958,196,2012,2014,2052,2064,2065,2068,207,2078,2099,210,2100,2115,2118,2146,2182,2192,221895,222546,2247,2255,2264,2272,22853,2296,23071,23197,23204,23301,23382,23411,2346,23476,23600,23635,23671,23753,246778,25792,25818,2591,25932,26227,26298,26499,2650,2678,2690,2697,27134,27173,27232,27242,27294,2787,28,2803,283237,2878,2886,28999,29,2908,29087,2923,2925,2932,2938,2944,2947,2950,2952,29893,30008,301,3047,3048,306,307,3091,3092,316,3169,3171,3187,3232,324,3248,3249,328,3283,3284,3292,3293,3303,3326,3383,3399,347747,3479,3486,3489,3490,354,3557,3558,356,3569,3576,3586,3603,3606,3630,3667,367,3690,3708,3717,3728,373156,3732,3817,384,389058,3913,3915,3925,3945,3952,3977,4023,4036,406991,4072,4074,408259,408260,4158,4193,4282,4292,43,4311,4318,4322,4353,4437,4477,4481,4502,4507,4524,4585,4601,4609,4610,463,4669,467,4683,472,4780,4782,4804,4824,4846,4878,4883,4925,4968,5034,5054,5074,5100,51084,51132,51135,51181,51227,51341,5144,5160,51651,51655,5172,5174,5176,5179,5224,5273,5290,5293,5328,5329,53916,5396,540,5420,54361,54363,54431,5444,54535,5465,54756,54790,55198,55210,55256,5530,55312,55577,5567,55819,55827,55829,55840,5590,5591,5595,5610,5611,5621,563,5652,56616,567,56849,56924,57185,572,5728,5743,5744,5796,581,5859,5887,59084,59344,595,596,6019,6038,6041,60526,60528,606293,6134,6136,6185,619402,6223,6237,6256,6293,6296,632,6376,6387,6414,64240,64374,6462,64816,6528,6541,655,6558,658,6581,664,6648,6695,6715,6716,672,6746,675,6757,6768,6774,678,6783,6790,6817,6820,6822,6836,6885,6916,6928,6948,6950,7001,7012,7015,7039,7040,7048,7079,7099,7100,7110,7111,7113,7114,7153,7157,7162,7163,7164,7178,7184,7185,Prostatic Neoplasms
10232,1029,11009,1209,1268,1269,1499,1616,1647,1806,1890,196,2030,2202,2258,23022,2494,2543,27086,28,3091,3439,3440,3442,3576,3651,3791,3845,4061,4072,4221,4318,4609,472,4792,5328,5349,54465,546,5468,5727,5728,5743,5744,5909,5925,598,6648,6690,672,675,6750,6751,6752,6753,6774,6794,6847,688,7015,7040,7124,7157,7249,7298,7423,7490,7873,79728,79783,7980,84133,8626,8743,8795,8829,8837,9564,960,999,102800310,126549,1499,25976,29086,401022,4978,5290,672,675,6928,8028,83990,8631,92421,9,100381270,100507118,101927835,101928292,102724536,10717,11086,11200,124359,126549,1277,129080,1496,152110,1879,2066,207,2263,22891,22913,252983,27324,29086,3708,3783,400406,4046,4194,4214,440193,4683,5083,5144,5195,5283,5290,54790,5567,57178,57591,5888,5890,59352,63876,643714,647121,6478,64858,672,675,6934,7015,7048,7140,729582,79068,7984,79931,80129,8028,8178,81847,83539,83990,84142,9055,91433,91768,9497,100507053,11200,125,127,1452,217,23293,283450,4582,51196,5144,54437,55027,5771,6480,7048,7494,80724,861,1000,101669767,10257,10397,1072,10855,10919,10961,1155,1192,1436,1440,1475,1612,1636,1719,1756,1806,185,186,1890,1933,1938,1950,1956,196,1964,1974,2056,2057,2064,2067,2072,2099,2258,226,2321,23643,23657,238,240,2512,25800,25816,2705,27436,2877,301,307,3274,3320,3381,3479,3558,3569,3606,3688,3732,378938,3845,3934,3958,396,406892,406899,406910,406919,406920,406947,406957,406974,406979,406986,406988,407006,407007,407009,407029,407034,407035,407041,407042,407053,407055,407056,4233,4292,4312,4313,4318,4319,442892,442909,442915,4524,4609,4638,4830,4878,4969,5008,51129,5168,5243,5265,5268,5287,5328,5329,5395,5478,55577,55630,5594,5595,5601,5621,5629,57007,5728,574032,574033,5743,574457,574466,574506,5829,5879,6197,6275,6387,6426,6591,6615,6648,6667,6696,6774,682,693124,693149,693151,693180,693223,7040,7048,7099,7124,7157,7171,7291,7347,7422,7431,7432,7531,7852,7980,80306,81567,8434,847,857,8626,8648,8654,8743,8772,92140,9518,960,9623,9846,999,1029,10481,1072,10855,1116,1139,135932,1476,1499,1508,1509,1520,1571,1748,1756,1910,1938,1950,1956,196,2019,2023,2056,2057,2059,226,23028,2335,240,2495,2512,259,27086,27250,301,302,3082,3084,3091,3162,3265,3400,Lymphoma
9,100307118,100307119,100307120,100307121,100307122,100307123,130540,26166,2736,353238,3569,378805,3852,3872,4157,434,51151,5727,5921,6608,7015,7053,7157,7299,7507,7517,81037,8643,100124700,100507436,1012,101929072,1027,1029,1033,10468,10476,1050,1051,1052,10537,10553,10788,10961,10987,11315,117145,118,122953,1230,1312,1356,1401,1499,1509,1540,1543,1571,1586,1636,1646,174,1806,1869,1950,1956,196528,2,2023,2052,2099,2108,2147,2171,2182,2194,2203,2222,2248,2249,22937,2305,23095,2353,2475,2597,2658,2705,2719,27232,2752,2810,2897,29108,29126,2923,2944,2950,307,3082,3083,31,3148,3156,324,325,3265,328,3284,3309,3313,3315,332,335,3417,3439,3476,3480,3481,3482,3491,3569,3576,3660,3667,367,3699,3725,3845,3954,406906,4143,4199,4233,4297,4313,4318,4353,4489,4502,4598,4609,47,472,4780,4792,4830,50,51,5105,51085,51360,5155,5157,5218,5226,5230,5243,5244,5245,5265,5267,5290,5315,5317,5468,5469,5502,55840,57016,5743,5747,57492,57509,5836,58508,5879,5914,5925,595,598,60,6194,6197,6240,6241,6319,6348,637,6387,64399,6502,6513,6514,6528,6648,6720,6721,6772,6775,6888,693200,7001,7015,7039,7040,7054,7157,7248,7263,7298,7345,735,7372,7376,7412,7571,760,7832,7980,80381,8289,8312,83597,83932,83940,8407,841,8431,8660,8667,87178,8720,873,8743,8805,8826,8900,898,89885,9021,9099,9353,9510,9518,9588,9681,9757,9965,9971,1029,1499,1616,1956,3480,3481,4221,5243,5925,6240,6678,673,7015,7153,7157,84133,9968,1029,1794,23111,23373,27086,4089,4745,5290,56033,5743,7099,7157,8289,9844,9,1026,1029,1072,113278,116,1192,120114,1244,125,130540,1381,1387,1476,1548,1890,1956,2033,217,2195,2196,2280,25800,25816,2665,2739,2810,2952,301,3091,3146,3309,340061,378938,3860,3861,3872,3880,4017,406999,4085,4255,4780,482,4851,4853,4854,494335,5052,51196,5144,51741,5216,55294,567,5720,5721,5743,58508,5925,595,6317,645,6648,6657,6876,701,7157,7167,7168,7169,7403,7494,7515,759,760,79633,8085,811,829,8342,84817,84962,861,9446,6009,6098,6236,6240,6385,63895,6472,6648,673,6774,6855,693223,7015,7039,7157,7262,7345,7422,79887,81037,817,8202,841,8434,847,9180,928,9470,9510,972,9817,10476,10961,Carcinoma
10,10188,1027,1029,10397,10468,10897,1124,1149,116966,117159,121256,121551,1233,128439,130814,1375,1381,1432,1437,1440,1499,153129,1571,158038,164395,166336,168002,170691,192286,1948,196,201163,2099,2272,22996,23302,23386,23404,23593,25,2705,27232,283927,2878,2944,30061,302,3054,307,3082,310,3162,325,3265,339896,342945,3439,3481,3558,3592,3593,3697,3725,374955,3845,3856,3875,4057,407021,4609,4645,467,4780,4891,5054,51201,51491,5357,540,5465,5468,5581,5685,57628,5800,5894,6319,64084,641371,6496,6725,673,6774,6925,7039,7124,7157,7204,7358,79039,79879,8100,81572,83597,84263,8743,8916,9215,9317,9970,9971,100,100271687,100271693,10063,1012,10253,1026,10266,1027,1028,1029,1066,10919,11009,11186,11200,1136,1138,1139,1143,116285,1291,1326,1401,1432,1490,1499,153090,1544,1545,1548,1571,1591,1612,1636,1776,1788,1796,1806,182,1938,1956,2,2018,2052,2064,2065,207,2074,2099,2202,2254,2260,2263,2272,2305,23462,2353,2520,253650,2627,2638,2697,2705,28234,2876,2878,2886,29108,2944,2950,2952,3162,324,3265,3280,332,335,3399,345,3458,3476,348,355,3553,3558,3569,3586,3659,3725,3726,3845,407035,407041,4170,4233,4312,4319,4353,4354,450093,4524,4609,475,4800,4843,4853,4854,4878,4968,5002,5071,5111,5265,5290,541471,5444,5519,55259,55840,5594,5595,5609,563,5728,5740,5743,5757,5894,5915,595,598,60,6091,634,6362,6414,6439,6441,6599,6657,6696,673,675,6776,6794,7011,7015,7037,7040,7048,7099,7124,7157,7253,7276,7298,7306,7367,7428,7474,7490,7508,780,79930,81037,841,84864,8517,8626,864,8678,8991,900,9046,9547,9588,9940,10,10010,1003,100506658,102,10236,1027,1029,10297,10318,10381,10397,10457,10468,10481,10499,10542,10551,10599,1063,10660,1072,10855,11009,11065,11067,1111,11200,1192,1269,1294,1312,131965,133522,135228,1364,1374,138046,142,1435,1436,1437,1440,1474,1499,151647,152273,1543,1545,1565,1576,1586,1588,161424,1649,167465,1719,1728,174,1786,1788,1789,1806,182,1825,1869,1902,1910,1933,1938,1942,1950,1956,196,196403,200315,2004,2023,2033,2050,2057,2063,2064,2065,207,208,2091,2099,2100,2101,2114,2118,2122,2146,2152,2173,2194,2202,221687,2248,2249,2255,226,2260,2263,2274,22891,22943,22948,2305,Neoplasms
10006,10015,100507463,10051,10097,10112,10135,10146,10159,10184,101929664,10197,102,10228,10255,10288,1033,10342,10403,10434,10451,10457,10461,10473,10479,10484,10492,10527,10539,10550,10564,10565,1058,10610,10613,1063,10659,10737,10855,10857,10874,10878,10935,10959,10973,10981,10988,10990,11010,11052,1111,11130,11196,11221,11326,11339,114548,1147,114885,117178,1230,1234,133619,1356,140,1436,150280,1520,1536,159,1636,1654,1670,178,1794,1824,183,1832,1880,1894,19,1965,2069,2123,2124,2146,2161,2180,2191,22797,22822,22841,22868,22948,22974,23042,2305,23167,23186,23244,23347,23405,23463,23471,23484,23530,23531,2359,23603,23683,241,24137,2526,253943,2553,25816,2585,2589,259266,25939,25978,25994,26031,26135,26191,26235,2632,27242,27299,2799,28966,29015,29028,29127,2956,29887,29902,29929,29957,30001,3015,3059,3071,3074,3075,3078,308,3116,3119,313,3161,3162,3308,332,3394,341,3459,3484,3587,3590,3597,3612,3673,3676,3684,3687,3689,3702,3796,3832,3838,387,3903,3936,3976,3988,4001,4076,407977,4082,4085,4121,4125,4144,4154,4200,4288,4312,4318,4321,4332,4481,4542,4552,4591,4644,4688,4811,4893,490,4973,5054,5111,51133,51167,51203,51290,51311,51313,51338,51368,51379,51435,51444,515,51514,51571,51582,51714,51719,51727,51762,51809,5229,5250,526,5284,5290,5328,5341,5352,54107,54149,54407,54431,54478,54491,54716,54877,54928,54969,55010,5504,55156,55159,55165,55197,55198,55215,55247,55273,55289,55355,55379,55435,55500,5552,55608,55619,55699,55706,55740,55754,55839,55872,55916,5594,55970,5621,5627,5660,5663,56833,56938,5696,56992,57018,57103,5728,57405,5744,5788,5791,5806,58504,586,5873,5888,5917,5921,5925,5965,5999,60343,6036,6039,60498,6059,6120,6241,6303,63933,6401,6402,64092,64116,64127,64151,64170,64231,64747,64844,64866,64924,6507,65084,6574,6596,6643,6665,6745,6787,6790,6856,6880,6885,695,699,701,7035,7040,7045,7076,7096,7097,7099,7112,712,713,7153,717,7272,728,729230,7298,7305,7323,7326,7351,7357,7456,7462,7525,7533,7534,7690,7803,7805,7884,79017,79071,79157,7941,79624,79647,79666,79682,79709,79718,80183,8038,8050,8061,80896,8099,8140,81533,81537,81542,81553,81555,81578,81671,81930,821,830,83737,8406,8445,8450,8477,8487,8522,8540,8560,865,8673,8741,8754,8761,IGA Glomerulonephritis
