p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,disease
2,10318,10498,10547,10758,10866,117289,125893,1356,1401,140454,1437,149233,163702,23586,2524,2706,285626,29785,3107,338442,348,353143,353144,3553,3565,3569,3593,3596,359825,400957,4288,4792,4843,503613,5111,51561,51752,5271,54620,5468,55350,55770,55905,57178,5966,5972,5980,6278,Psoriasis
10036,2189,2937,3301,51182,54541,56603,5743,6283,672,8208,9518,28998,301,302,308,3202,3236,3237,3265,3312,3315,3383,3606,3845,3854,3963,4489,5223,5290,540,5478,56952,5743,6317,6648,7157,7167,7248,7249,7372,7417,10036,2189,2937,3301,51182,54541,56603,Mouth Diseases
1012,10160,10207,10257,105,1080,11278,1129,1138,114134,114786,114788,121601,1268,140683,140733,143098,143379,143458,143503,147685,1565,1653,167465,1769,1793,1813,1826,1962,2120,2166,2272,22925,22998,23034,23214,23307,23345,253782,25807,259217,26230,27146,2893,2898,29119,29126,2915,2917,Substance Related Disorders
3,10057,10125,101927437,1021,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,117289,122618,1235,1244,130540,135,1356,1401,1404,1437,1490,1493,150577,1509,151056,156,160364,1656,1687,171425,1719,176,177,1776,1803,1827,196,200734,2023,2147,219790,2212,221895,Rheumatoid Arthritis
10533,113235,142,1437,1440,183,2056,2936,30061,3240,3440,3481,3558,3562,374569,4524,51312,538,5617,5741,57817,5972,6648,7124,7298,8797,9474,2072,2175,2176,2177,2178,2187,2188,2189,29089,4599,55120,55215,57697,5889,675,7124,79728,83990,84464,114086,2623,6125,Anemia
10232,1956,2064,2263,2778,3417,3418,3569,3845,4089,4843,5178,54894,55193,5566,5567,5743,5774,58508,6092,6528,7157,8289,8314,10847,10933,1387,1462,1612,182,2011,2019,2033,2175,2195,221037,2264,2309,23135,23209,23220,23269,23543,23619,23774,259266,2620,2621,26292,Carcinoma
10189,10197,10204,1026,10280,10436,10527,10574,10594,10808,10946,10980,10981,1192,1232,1524,1647,1973,1978,213,2208,22948,23198,23411,2971,3068,30835,3106,3107,3240,329,330,3313,3315,3320,3326,3329,335,3458,3558,3559,3566,3577,3586,3608,3692,3811,3837,393,HIV Infections
4,10769,10810,10826,10950,11252,113,1191,122416,1390,139105,146225,1493,150094,153020,157922,1612,1647,1649,1839,1843,1844,1846,1950,1958,196441,1998,200315,2017,203228,2120,2209,221037,22864,23043,23074,23080,23093,23166,2353,2354,2355,23764,239,25816,26037,27086,2766,2791,Juvenile arthritis
10140,1019,1728,196,2026,2064,2149,22827,25,3082,30834,3265,3274,3458,3558,3592,3593,3832,3845,405,407041,4893,5111,5621,574511,595,5970,613,6678,6696,682,7124,7422,8725,8743,1019,1029,113878,1559,1612,23411,238,27436,28514,3558,388585,4255,441478,5111,Neoplasms
133,1674,1675,183,2099,213,2833,3458,3553,3558,3559,3569,3576,3586,3606,3727,406892,406903,4803,4868,5443,5468,6346,6347,6348,6351,6352,6354,7124,7490,1401,1559,1565,1634,213,4803,6346,6347,6354,7057,100532746,102465500,102466745,10554,10665,10919,135656,1460,170679,Glomerulonephritis
10150,10243,1136,1138,125,126,1312,145858,1571,217,23552,2488,2550,2555,2566,2626,2678,2693,27340,3356,347735,3972,4852,4887,4988,50833,5142,5173,54622,55213,55825,5726,63876,6462,6532,6622,6869,6870,7018,886,9095,0,0,0,0,0,0,0,0,Alcoholic Intoxication Chronic
1543,1544,196,1999,2252,23411,3162,3371,3569,4311,4803,4914,6347,6348,6351,7039,7099,7124,7132,80310,1906,335,3383,355,356,429,4638,5468,7031,7032,7040,7295,7432,847,90,9173,100128334,10144,1314,151827,1832,23250,29119,3712,4137,4583,64478,64798,6648,Lung diseases
1636,1906,196743,213,2147,2153,217,2833,335,3360,3383,3553,3557,3569,3613,3659,3674,3685,3690,4018,4524,463,4843,5144,5327,5328,54498,5563,5743,6647,7040,7124,7291,7351,79001,7941,92369,9734,0,0,0,0,0,0,0,0,0,0,0,Cerebrovascular accident
1080,183,1906,1909,1910,2006,2247,23414,2626,2627,2697,3170,3202,3213,3383,3479,3481,3569,362,3737,3745,3778,4036,4846,4878,64220,6439,6440,652,6586,7026,7040,7055,7067,7068,7080,7124,7345,7412,7490,8817,0,0,0,0,0,0,0,0,Diaphragmatic Hernia
9,100188791,100270642,100270643,100270644,10665,11073,11262,115761,23451,23547,25797,25865,25913,26034,28444,29125,29949,3117,3394,3431,3500,355,3569,3662,3676,400997,406935,406937,406950,4524,472,4988,5027,51176,5366,5423,5527,55289,55892,5743,57476,578,59,5934,595,596,64506,64864,Chronic Lymphocytic Leukemia
10232,1027,1029,11186,1734,1956,1958,2099,2246,2247,2272,22827,23741,2475,2662,2719,2934,2944,324,3458,4582,4771,4831,5154,5241,54716,55600,56034,6648,6696,6850,7296,7490,7515,7517,8314,847,84700,8915,94274,999,0,0,0,0,0,0,0,0,Mesothelioma
11,100996324,10111,101927027,101929507,102724748,11201,1431,149233,23040,23586,285626,353135,4255,48,4843,5141,51752,54922,55770,55905,5799,5966,5980,6231,64377,64478,6586,6773,686,6924,7087,7128,81890,84162,8575,90134,91749,9844,9927,0,0,0,0,0,0,0,0,0,Inflammatory dermatosis
12,1356,1374,153,1536,2335,23411,23671,346171,3630,3667,3799,3953,4217,4508,5443,5444,5468,547,5743,5879,653361,6647,7058,847,8639,8856,9370,9970,100128081,10019,100506742,10584,10666,10745,1129,114904,1356,139716,1401,146754,1493,1512,160365,1649,169792,2065,22979,23274,Diabetes Mellitus
10159,111,1134,1277,1278,1281,1440,150,152,154,1588,1634,183,207,213,2235,23411,284,3162,3553,3557,3565,3816,3953,406991,472,4881,5155,5294,54974,5609,5743,5972,6648,6774,7040,7057,7124,80310,8877,894,0,0,0,0,0,0,0,0,Fibrosis
10084,10743,152330,1544,1788,1902,196,2074,2245,26277,2688,27125,282808,285590,3162,3480,3481,3483,4054,407975,43,4880,5290,538,546,554,5744,6913,701,79048,84282,867,9719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Growth Disorders
10280,11255,1128,1139,1813,2558,28964,2925,3115,3350,3362,3363,3481,351,3553,3630,4012,4137,4192,4282,43,4835,4852,5071,5368,551,5663,57030,57084,596,5966,6531,6532,6774,6855,7422,9495,0,0,0,0,0,0,0,0,0,0,0,0,Memory Disorders
