p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,disease
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psychoses  Substance-Induced
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zellweger Syndrome
63870,64135,643749,64478,65245,6648,6773,6774,7039,7124,7128,7157,7297,7422,7889,79092,81890,831,84648,847,85463,864,8651,8875,8876,90134,9232,9692,9825,9844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Psoriasis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nephrotic Syndrome
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Common Migraine
6283,672,8208,9518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mouth Diseases
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MITOCHONDRIAL COMPLEX I DEFICIENCY
344805,3643,3899,3983,401207,4482,4646,481,4852,4897,4985,5087,51082,51151,5137,51660,5366,54927,55198,55297,55690,55691,55717,55742,5581,5583,55930,57451,5768,57733,5890,64131,64478,64866,65217,6532,6555,6581,7260,79632,79750,79809,79875,80031,80034,80095,80206,8048,81035,83938,8412,Substance Related Disorders
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anemia Hemolytic
2289,23228,23534,2356,23569,23643,23766,240,26147,2618,26191,2625,2638,285704,2870,2920,2974,3059,306,3115,3118,3123,3236,3237,3239,326,3290,3394,342132,3458,3486,3491,3516,3553,3557,3559,356,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,4082,Rheumatoid Arthritis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arthritis Psoriatic
6138,6154,6165,6201,6204,6218,6223,6229,6231,6234,6235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anemia
27344,284058,29072,29128,2982,3008,3265,3485,358,3645,3691,3852,3866,4082,4602,4603,4613,472,4781,4851,50805,51477,51514,51659,5174,51742,5176,5290,53335,54441,54531,546,54756,54880,55294,55534,55783,5591,55914,5605,5728,57419,5834,58508,595,63035,64324,6484,653220,6595,6605,Carcinoma
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Neuroendocrine Tumors
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Malaria
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hyperhomocysteinemia
397,4067,4150,4153,4193,4927,4953,5265,5479,5685,5686,5687,5692,5699,5702,5705,5709,5714,5719,5720,5721,5727,581,5901,5902,6347,6348,6349,6356,6387,6421,6426,64411,6556,6634,6722,6880,7203,7266,7307,7528,80273,85363,8662,8683,9230,940,9531,9861,998,0,HIV Infections
283131,2919,3012,3084,3310,340205,3480,353514,3557,366,3674,3693,3725,374,3772,3845,4026,4088,4133,4478,473,4929,4973,5008,51320,51338,51741,5187,5239,5329,5352,54502,54757,55,55500,5594,5627,60685,64224,6515,6556,6774,6786,6934,694,7027,7035,7057,7130,7280,732,Juvenile arthritis
5727,595,5970,6608,6648,6696,7052,7422,1410,3265,3315,360,3861,407007,5743,6648,7012,7298,1029,1499,2778,2796,2798,5566,5743,5925,7157,7253,998,71,7170,7227,7329,7351,7430,7498,7517,7534,780,81,832,8573,8648,8673,8743,8825,8848,9019,902,93974,949,Neoplasms
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alopecia Areata
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alopecia
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bradycardia
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Common Variable Immunodeficiency
22925,29113,3117,5460,56244,6048,6941,7916,7918,80864,8859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Glomerulonephritis
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alcoholic Intoxication Chronic
79991,91039,10253,10265,10365,114131,1395,1490,151,153572,154,1636,2,26253,27125,3091,3170,338339,3480,3482,3596,3643,3815,3948,4317,4353,5125,5154,5156,5265,5591,5743,5744,5745,6337,6338,64220,6439,6648,683,7040,7055,7080,7124,7356,7422,79191,79192,83716,9446,976,Lung diseases
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mental Retardation X Linked
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cerebrovascular accident
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diaphragmatic Hernia
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prostatic Intraepithelial Neoplasias
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Semilobar Holoprosencephaly
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restless Legs Syndrome
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brugada Syndrome
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hearing Loss Partial
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chromosome Aberrations
7157,7421,8101,81037,817,8302,841,8600,8792,90427,921,9855,10,100310785,100310786,1021,1029,10320,1053,1544,1545,1558,1728,2052,2120,22806,22807,22978,25,2625,286530,3055,3131,3233,3417,405,4297,4524,4552,5079,5243,5305,55824,5925,613,63978,64109,6573,6929,7157,7441,Chronic Lymphocytic Leukemia
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Refractive Errors
