p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,disease
1012,10160,10207,10257,105,1080,11278,1129,1138,114134,114786,114788,121601,1268,140683,140733,143098,143379,143458,143503,147685,1565,1653,167465,1769,1793,1813,1826,1962,2120,2166,2272,22925,22998,23034,23214,23307,23345,253782,25807,259217,26230,27146,2893,2898,29119,29126,2915,2917,29922,344805,3643,3899,3983,401207,4482,4646,481,4852,4897,4985,5087,51082,51151,5137,51660,5366,54927,55198,55297,55690,55691,55717,55742,5581,5583,55930,57451,5768,57733,5890,64131,64478,64866,65217,6532,6555,6581,7260,79632,79750,79809,79875,80031,80034,80095,80206,8048,81035,83938,Substance Related Disorders
3,10057,10125,101927437,1021,10257,10274,10586,10628,10665,10666,10678,10745,10956,11102,11170,117289,122618,1235,1244,130540,135,1356,1401,1404,1437,1490,1493,150577,1509,151056,156,160364,1656,1687,171425,1719,176,177,1776,1803,1827,196,200734,2023,2147,219790,2212,221895,22806,2289,23228,23534,2356,23569,23643,23766,240,26147,2618,26191,2625,2638,285704,2870,2920,2974,3059,306,3115,3118,3123,3236,3237,3239,326,3290,3394,342132,3458,3486,3491,3516,3553,3557,3559,356,3560,3569,3570,3572,3576,3586,3606,3654,3655,3663,3798,3899,3934,Rheumatoid Arthritis
10232,1956,2064,2263,2778,3417,3418,3569,3845,4089,4843,5178,54894,55193,5566,5567,5743,5774,58508,6092,6528,7157,8289,8314,10847,10933,1387,1462,1612,182,2011,2019,2033,2175,2195,221037,2264,2309,23135,23209,23220,23269,23543,23619,23774,259266,2620,2621,26292,27255,27344,284058,29072,29128,2982,3008,3265,3485,358,3645,3691,3852,3866,4082,4602,4603,4613,472,4781,4851,50805,51477,51514,51659,5174,51742,5176,5290,53335,54441,54531,546,54756,54880,55294,55534,55783,5591,55914,5605,5728,57419,5834,58508,595,63035,64324,6484,653220,6595,Carcinoma
10189,10197,10204,1026,10280,10436,10527,10574,10594,10808,10946,10980,10981,1192,1232,1524,1647,1973,1978,213,2208,22948,23198,23411,2971,3068,30835,3106,3107,3240,329,330,3313,3315,3320,3326,3329,335,3458,3558,3559,3566,3577,3586,3608,3692,3811,3837,393,396,397,4067,4150,4153,4193,4927,4953,5265,5479,5685,5686,5687,5692,5699,5702,5705,5709,5714,5719,5720,5721,5727,581,5901,5902,6347,6348,6349,6356,6387,6421,6426,64411,6556,6634,6722,6880,7203,7266,7307,7528,80273,85363,8662,8683,9230,940,9531,9861,998,HIV Infections
4,10769,10810,10826,10950,11252,113,1191,122416,1390,139105,146225,1493,150094,153020,157922,1612,1647,1649,1839,1843,1844,1846,1950,1958,196441,1998,200315,2017,203228,2120,2209,221037,22864,23043,23074,23080,23093,23166,2353,2354,2355,23764,239,25816,26037,27086,2766,2791,2812,283131,2919,3012,3084,3310,340205,3480,353514,3557,366,3674,3693,3725,374,3772,3845,4026,4088,4133,4478,473,4929,4973,5008,51320,51338,51741,5187,5239,5329,5352,54502,54757,55,55500,5594,5627,60685,64224,6515,6556,6774,6786,6934,694,7027,7035,7057,7130,7280,Juvenile arthritis
10140,1019,1728,196,2026,2064,2149,22827,25,3082,30834,3265,3274,3458,3558,3592,3593,3832,3845,405,407041,4893,5111,5621,574511,595,5970,613,6678,6696,682,7124,7422,8725,8743,1019,1029,113878,1559,1612,23411,238,27436,28514,3558,388585,4255,441478,5111,5444,5727,595,5970,6608,6648,6696,7052,7422,1410,3265,3315,360,3861,407007,5743,6648,7012,7298,1029,1499,2778,2796,2798,5566,5743,5925,7157,7253,998,71,7170,7227,7329,7351,7430,7498,7517,7534,780,81,832,8573,8648,8673,8743,8825,8848,9019,902,93974,Neoplasms
1543,1544,196,1999,2252,23411,3162,3371,3569,4311,4803,4914,6347,6348,6351,7039,7099,7124,7132,80310,1906,335,3383,355,356,429,4638,5468,7031,7032,7040,7295,7432,847,90,9173,100128334,10144,1314,151827,1832,23250,29119,3712,4137,4583,64478,64798,6648,7015,79991,91039,10253,10265,10365,114131,1395,1490,151,153572,154,1636,2,26253,27125,3091,3170,338339,3480,3482,3596,3643,3815,3948,4317,4353,5125,5154,5156,5265,5591,5743,5744,5745,6337,6338,64220,6439,6648,683,7040,7055,7080,7124,7356,7422,79191,79192,83716,9446,Lung diseases
9,100188791,100270642,100270643,100270644,10665,11073,11262,115761,23451,23547,25797,25865,25913,26034,28444,29125,29949,3117,3394,3431,3500,355,3569,3662,3676,400997,406935,406937,406950,4524,472,4988,5027,51176,5366,5423,5527,55289,55892,5743,57476,578,59,5934,595,596,64506,64864,7037,7157,7421,8101,81037,817,8302,841,8600,8792,90427,921,9855,10,100310785,100310786,1021,1029,10320,1053,1544,1545,1558,1728,2052,2120,22806,22807,22978,25,2625,286530,3055,3131,3233,3417,405,4297,4524,4552,5079,5243,5305,55824,5925,613,63978,64109,6573,6929,7157,Chronic Lymphocytic Leukemia
12,1356,1374,153,1536,2335,23411,23671,346171,3630,3667,3799,3953,4217,4508,5443,5444,5468,547,5743,5879,653361,6647,7058,847,8639,8856,9370,9970,100128081,10019,100506742,10584,10666,10745,1129,114904,1356,139716,1401,146754,1493,1512,160365,1649,169792,2065,22979,23274,23316,246778,25865,26191,26291,29121,29949,3117,3119,3122,3123,3240,3291,3458,3479,3481,3559,3586,3630,3710,3767,387103,4008,4842,4846,4938,50604,5078,50943,51214,5236,53347,55315,55384,55423,55876,5588,5771,60468,60495,6364,64135,64375,6556,677,6774,6833,6927,7124,723961,7297,Diabetes Mellitus
10188,1050,1072,10897,10975,1124,121256,1373,140885,164395,166336,192286,1948,1950,217,2305,23302,23404,2495,25,25839,2705,2941,2950,3033,307,3265,339487,3481,3484,3667,383,3856,406884,406886,406910,406937,406984,406993,406994,407017,407029,407033,407054,407056,4193,4353,442898,442903,442906,442908,442920,5037,506,51491,5245,54802,5592,5599,5601,5609,5743,574413,57628,587,595,619552,6317,64081,6496,6648,6776,693235,70,7171,7204,724022,728239,7422,79039,79879,8100,84249,847,84909,8659,91522,9446,95,9970,999,0,0,0,0,0,0,0,0,0,Precancerous Conditions
